    PID TTY      STAT   TIME COMMAND
  15876 ?        Sl     0:10 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 32419 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {5d445c3c-2ebe-4e25-900a-0b736dcc786f} 14786 true tab
  15912 ?        Sl     0:01 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 11 -isForBrowser -prefsLen 32419 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {645ae588-0e2e-4c84-80e9-4046b6e991f8} 14786 true tab
  15950 ?        Sl     0:03 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 32419 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {4abdc14f-8902-4cfc-9358-f73d398b3176} 14786 true tab
  15989 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -parentBuildID 20231009233052 -prefsLen 38330 -prefMapSize 233463 -appDir /snap/firefox/3252/usr/lib/firefox/browser {ab36bdfd-9598-4fea-89fb-cc0fbbc9cfaf} 14786 true rdd
  16178 ?        Sl     0:10 /home/krzysztof/.vscode/extensions/ms-vscode.cpptools-1.17.5-linux-x64/bin/cpptools
  16509 ?        Sl     0:01 /home/krzysztof/.vscode/extensions/ms-vscode.cpptools-1.17.5-linux-x64/bin/cpptools-srv 16178 {2D5FE86D-3675-4C5D-88E9-6477F80B2780}
  17683 ?        Sl     0:03 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 16 -isForBrowser -prefsLen 32476 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {ab22f422-eca3-4564-b147-4a89181b003d} 14786 true tab
  17722 ?        I      0:00 [kworker/1:0]
  17725 ?        I      0:00 [kworker/11:1-events]
  17727 ?        Sl     0:01 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 17 -isForBrowser -prefsLen 32476 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {7c7fea65-60fb-49c8-8896-6699fad1effc} 14786 true tab
  18048 ?        Sl     0:20 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 32476 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {1fe6b000-2557-464b-9f90-61884ad5c37a} 14786 true tab
  18090 ?        I      0:00 [kworker/14:0-mm_percpu_wq]
  18093 ?        Sl     0:06 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 19 -isForBrowser -prefsLen 32476 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {b1036ece-c4f1-4ea5-831b-0b72c7f6fd74} 14786 true tab
  18137 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 32542 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {1aacf34d-8f00-4bdb-9e60-e8a7028dc12f} 14786 true tab
  18182 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 21 -isForBrowser -prefsLen 32542 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {d3be0ec1-9fee-4aba-a3aa-5220c6bfa4ee} 14786 true tab
  18199 ?        I      0:00 [kworker/u32:0-events_unbound]
  18234 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 22 -isForBrowser -prefsLen 32542 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {3205fca3-ff1d-4aab-a2fe-93e32f920ac5} 14786 true tab
  18296 ?        I<     0:00 [kworker/u33:2-rtw_tx_wq]
  18335 ?        I      0:00 [kworker/u32:1-events_power_efficient]
  18625 ?        S      0:00 /bin/sh -c "/snap/code/143/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh" 15757
  18626 ?        S      0:00 /bin/bash /snap/code/143/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh 15757
  18629 ?        S      0:00 sleep 1
  18631 pts/0    R+     0:00 ps ax
